Código,Descrição,Unidade medida,CPC,Seção,Divisão,Grupo,Classe,Subclasse
4030,"Locação de Máquinas de Escavação / Terraplenagem / Agrícola                                                             ",UN,732,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","732: SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS                                                               ",,
4049,"Locação Equipamento Elevação / Movimentação de Carga                                                                    ",UN,732,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","732: SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS                                                               ",,
4057,"Locação de Andaimes                                                                                                     ",UN,732,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","732: SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS                                                               ",,
4065,"Locação de Equipamentos de Telecomunicações                                                                             ",UN,732,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","732: SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS                                                               ",,
4073,"Comercialização / Locação - Máquinas de Reprografia                                                                     ",,,,,,,
4081,"Prestação de Serviços Temporários                                                                                       ",UN,851,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","85: SERVIÇOS DE SUPORTE                                                                                                     ","851: SERVIÇOS DE AGÊNCIAS DE EMPREGOS E FORNECIMENTO DE PESSOAL                                                              ",,
4090,"Locação de Máquinas de Escrever e Calcular                                                                              ",UN,731,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","731: SERVIÇOS DE LEASING OU ALUGUEL DE MAQUINARIA E EQUIPAMENTOS SEM OPERADOR                                                ",,
4103,"Consultoria / Assessoria - Logística                                                                                    ",UN,831,"8: SERVIÇOS DE NEGÓCIO E PRODUÇÃO                                                                                          ","83: OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS                                                                   ","831: SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO                                                                            ",,
4111,"Informática - Disquete Formatado (Software)                                                                             ",UN,73310,"7: SERVIÇOS FINANCEIROS E AFINS; SERVIÇOS IMOBILIÁRIOS; SERVI- ÇOS DE LEASING E ALUGUEL                                    ","73: SERVIÇOS DE LEASING OU ALUGUEL SEM OPERADOR                                                                             ","733: SERVIÇOS DE LICENÇA PELO DIREITO DE USO DE ATIVOS NÃO-FINAN-CEIROS INTANGÍVEIS                                          ","7331: SERVIÇOS DE LICENÇA PELO DIREITO DE USO DE SOFTWARE                                                                     ","73310: SERVIÇOS DE LICENÇA PELO DIREITO DE USO DE SOFTWARE                                                                     "
4596,"Instalação e Montagem de Energia Elétrica Até 60kv                                                                      ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4600,"Instalação e Montagem de Subestações de Energia Elétrica até138kv                                                       ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4618,"Instalação e Montagem de Subestações de Energia Elétrica até230kv                                                       ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4626,"Instalação e Montagem de Subestações de Energia Elétrica até500kv                                                       ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4634,"Instalação e Montagem de Subestações de Energia Elétrica Acima de 500kv                                                 ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4642,"Instalação e Montagem de  Subestações  de  Energia  ElétricaBlindadas                                                   ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4650,"Instalação e Montagem Linhas de Transmissão - Energia Elétrica Até 690kv                                                ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4669,"Instalação e Montagem Linhas de Transmissão - Energia Elétrica Até 138kv                                                ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4677,"Instalação e Montagem Linhas de Transmissão - Energia Elétrica Até 230kv                                                ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
4685,"Instalação e Montagem Linhas de Transmissão - Energia Elétrica Até 500kv                                                ",UN,546,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","546: SERVIÇOS DE INSTALAÇÃO                                                                                                  ",,
